HPV.type	comparison	min5.detection.diff	min5.FE.pvalue	min5.FE.fdr	min20.detection.diff	min20.FE.pvalue	min20.FE.fdr	limma.voom.pvalue	limma.voom.fdr	binomialGLM.pvalue	binomialGLM.fdr	linear.lm.1var.pvalue	linear.lm.1var.fdr	linear.lm.2var.pvalue	linear.lm.2var.fdr	log.lm.1var.pvalue	log.lm.1var.fdr	log.lm.2var.pvalue	log.lm.2var.fdr
HPV16	FFPE_vs_DNA	-12.4%	0.313987658854062	0.565177785937312	-23.6%	0.0717861711066364	0.610583446404343	0.295750309957459	0.295750309957459	0.277192848041909	0.623683908094295	0.00587624900630558	0.0528862410567502	0.00908497728790802	0.0817647955911722	0.10286270505407	0.259976697163972	0.117682315903172	0.24964880761157
HPV18	FFPE_vs_DNA	20.4%	0.0728665484662513	0.327899468098131	10.2%	0.381451317068592	0.675130839309944	9.63919503023285e-06	1.44587925453493e-05	0.0732635362417121	0.329685913087705	0.570398325581845	0.570398325581845	0.463432787588669	0.463432787588669	0.049994896354199	0.224977033593896	0.0468711242429063	0.210920059093078
HPV31	FFPE_vs_DNA	5.5%	0.548137779941578	0.822206669912367	4.8%	0.525101763907734	0.675130839309944	1.64047919051382e-08	4.92143757154147e-08	0.996014403796764	0.996109920295656	0.289052974612751	0.463677008074214	0.347972003256274	0.463432787588669	0.173317798109315	0.259976697163972	0.235243462171761	0.352865193257642
HPV33	FFPE_vs_DNA	3.6%	1	1	4.8%	0.525101763907734	0.675130839309944	4.50667731734618e-06	1.01400239640289e-05	0.996109920295656	0.996109920295656	0.360637672946611	0.463677008074214	0.326047032415976	0.463432787588669	0.406838003222356	0.406838003222356	0.417461400764331	0.434156952035688
HPV45	FFPE_vs_DNA	7.3%	0.303623591598275	0.565177785937312	9.5%	0.28856591170024	0.675130839309944	4.95915580172489e-11	2.2316201107762e-10	0.993685946919357	0.996109920295656	0.204502736993161	0.460131158234613	0.171020173369623	0.384795390081652	0.164604251547313	0.259976697163972	0.138693782006428	0.24964880761157
HPV58	FFPE_vs_DNA	36%	0.000983113508689952	0.00884802157820957	3.1%	1	1	5.56881157126467e-22	5.0119304141382e-21	0.00870280403125539	0.0783252362812985	0.0289993536740653	0.130497091533294	0.0418501522265114	0.16272240971127	2.97467961771037e-06	2.67721165593933e-05	3.96408103130326e-07	3.56767292817294e-06
HPV59	FFPE_vs_DNA	-6.2%	0.228821811100292	0.565177785937312	-8%	0.135685210312076	0.610583446404343	7.66817944781588e-05	9.85908786147755e-05	0.215862877283704	0.623683908094295	0.0679074128410405	0.203722238523122	0.0542408032370901	0.16272240971127	0.160483964734202	0.259976697163972	0.119051540607283	0.24964880761157
HPV67	FFPE_vs_DNA	3.6%	1	1	2.4%	1	1	6.13289652672963e-06	1.10392137481133e-05	0.996109920295651	0.996109920295656	0.443568582504648	0.499014655317729	0.447101243079055	0.463432787588669	0.305111604637118	0.383051189050044	0.366088101972617	0.434156952035688
HPV73	FFPE_vs_DNA	3.6%	1	1	4.8%	0.525101763907734	0.675130839309944	0.0319615223050361	0.0359567125931656	0.996109920295655	0.996109920295656	0.340522903638709	0.463677008074214	0.434212742471602	0.463432787588669	0.340489945822261	0.383051189050044	0.434156952035688	0.434156952035688
HPV16	FFPE_vs_Frozen	2.5%	0.82786720713779	1	-5.9%	0.6523719330493	0.892837079128203	0.950993604923216	0.95241046530406	0.807655352673802	0.995331912534422	0.175160559291374	0.459236824157449	0.0279048854919147	0.125571984713616	0.526235588625033	0.676588613946472	0.400533160867172	0.51497120682922
